Sheet,Cell,Cell Data,Time-Stamp,Comment
Feb,G17,Shrugs - Dumbell,6:24PM Feb 10,Marked as resolved
Feb,G17,Shrugs - Dumbell,6:24PM Feb 10,27.5kg DBs
Feb,G17,Shrugs - Dumbell,6:21PM Feb 10,25kg DBs
Feb,G17,Shrugs - Dumbell,6:19PM Feb 10,22.5kg DBs
Feb,G17,Shrugs - Dumbell,6:16PM Feb 10,20kg DBs
May,E4,3,9:02AM May 3,Marked as resolved
May,E4,3,8:18AM May 3,86.8kg pre poo
May,G4,"5 - Legs, Calves, Shoulders",10:18AM May 5,Marked as resolved
May,G4,"5 - Legs, Calves, Shoulders",8:50AM May 5,Weight:84.7kg
Feb,E18,Crunches - Weighted - Cable,3:11PM Feb 9,20kg
Feb,G15,Bench Press - Narrow Grip - Barbell,5:36PM Feb 10,45kg working weight
Feb,G18,Arnold Press - Dumbell,5:43PM Feb 10,10kg DBs
Feb,G20,Curls - Hammer - Dumbell,5:52PM Feb 10,10kg DBs
Feb,G16,Tricep Extension Pulldown - Cable,6:01PM Feb 10,Max 24.5kg (tough)
Feb,G19,Lateral Shoulder Press - Machine,6:12PM Feb 10,Working weight 40kg
Feb,G21,Hammer Hold - Dumbell,6:34PM Feb 10,12.5kgs 
Feb,H14,Bench Press - Flat - Barbell,4:56PM Feb 11,Working weight 50kg
Feb,H17,Lateral Pull Down - Cable,5:05PM Feb 11,Good for a bicep workout
Feb,H17,Lateral Pull Down - Cable,5:03PM Feb 11,Working weight 13
Feb,H15,Pectoral Flys - Cable,5:12PM Feb 11,Working weight 42.5kg
Feb,H18,Seated Pulley Row - V-Grip - Cable,5:21PM Feb 11,(Wider v grip assuming makes it harder?)
Feb,H18,Seated Pulley Row - V-Grip - Cable,5:18PM Feb 11,Working weight 14
Feb,H16,Bench Press - Lateral - Machine,5:31PM Feb 11,Working weight 40kg
Feb,H19,Face Pull - Cable,5:32PM Feb 11,Working weight 12.5kg
Feb,H20,Crunches - Weighted - Cable,5:35PM Feb 11,Working weight 22.5kg
Feb,C23,Bench Press - Narrow Grip - Barbell,6:45PM Feb 13,"45kg working weight, really feeling it through the slow release"
Feb,C29,Straight Arm Pushdown - Cable,6:57PM Feb 13,"Working weight 21kg, tried 24.5kg but only 4 bad reps"
Feb,C29,Straight Arm Pushdown - Cable,6:55PM Feb 13,"Love this, making a regular"
Feb,C27,Curls - Hammer - Dumbell,7:02PM Feb 13,10kg DB
Feb,C25,Tricep Kick-Backs - Dumbell,7:32PM Feb 13,Struggling with the form with my head in the curling bench but doable
Feb,C25,Tricep Kick-Backs - Dumbell,7:28PM Feb 13,Aiming for sets of 8 with 8kg DBs
Feb,C26,Hammer Hold - Dumbell,7:42PM Feb 13,12.5kg DB 30-35s sets
Feb,C30,Bent-Over Rows - Barbell,8:01PM Feb 13,"Working weight 45kg, strong sets"
Feb,C24,Tricep Extension Pulldown - Cable,8:05PM Feb 13,Working weight of 24.5kg. Aiming for sets of 8
Feb,C28,Lateral Pull Down - Machine,10:40AM Feb 14,"Very big on the traps, good to put alongside shoulders"
Feb,C28,Lateral Pull Down - Machine,7:24PM Feb 13,"70x10, 80x8, 90x6, 90x6"
Feb,D26,Squat - Back - Barbell,7:22PM Feb 14,Working weight 60kg
Feb,D23,Bench Press - Flat - Barbell,7:36PM Feb 14,"Peak 52.5kg, use as working weight next time"
Feb,D27,Squat - Front - Barbell,7:41PM Feb 14,Working weight 40kg
Feb,D24,Bench Press - Decline - Barbell,8:00PM Feb 14,Working weight 55kg
Feb,D28,Good Mornings - Barbell,8:18PM Feb 14,Peak 50kg
Feb,D25,Bench Press - Incline - Dumbell,8:25PM Feb 14,16kg DBs next time
Feb,D25,Bench Press - Incline - Dumbell,8:22PM Feb 14,Hammer curl friendly bench on the one notch visible. 14kg DBs
Feb,D29,Crunches - Weighted - Cable,8:38PM Feb 14,25kg working weight 3 sets
Feb,E25,Lateral Shoulder Press - Machine,8:07PM Feb 15,Working weight 40kg
Feb,E30,Tricep Extension Pulldown - Cable,8:18PM Feb 15,Working sets of 24.5kg
Feb,E26,Bent-Over Rows - Barbell,8:24PM Feb 15,Very tough 50kg Working sets
Feb,E23,Shrugs - Dumbell,8:30PM Feb 15,Working sets of 30kg DBs
Feb,E27,Seated Pulley Row - V-Grip - Cable,8:50PM Feb 15,Working weight 14
Feb,E24,Bent Over Lateral Raise - Dumbell,8:57PM Feb 15,Go up a weight next time
Feb,E24,Bent Over Lateral Raise - Dumbell,8:55PM Feb 15,Lying on bench 5kg DBs
Feb,E29,Tricep Kick-Backs - Dumbell,9:02PM Feb 15,Short working sets with 7.5kg DBs
Feb,G25,Bench Press - Decline - Barbell,6:43PM Feb 17,Peak 60kg 4reps
Feb,F22,16,7:01PM Feb 17,Feel like absolute DEATH. Body is exhausted. Consider reducing program
Feb,G23,Pectoral Flys - Cable,7:02PM Feb 17,Working weight 45kg
Feb,G26,Curls - Hammer - Dumbell,7:18PM Feb 17,Strained muscle in right forearm. Remove hammer hold for something else
Feb,G26,Curls - Hammer - Dumbell,7:17PM Feb 17,10kg DBs
Feb,G24,Bench Press - Flat - Dumbell,7:30PM Feb 17,Next time try 20kg DBs
Feb,G24,Bench Press - Flat - Dumbell,7:22PM Feb 17,18kg DBs
Feb,G28,Crunches - Weighted - Cable,7:48PM Feb 17,Working weight 27.5kg
Feb,G29,Crunches - Weighted - Dumbell,7:56PM Feb 17,"4kg Medicine ball, feet under 30kg bag"
Feb,B39,Tricep Extension Pulldown - Cable,4:31PM Feb 19,Working sets of 24.5kg
Feb,B32,Lateral Pull Down - Machine,4:50PM Feb 19,Warm up sets of holding 50kg at the bottom of the rep for 5 reps
Feb,B32,Lateral Pull Down - Machine,4:43PM Feb 19,Working sets of 90kg
Feb,B38,Bench Press - Narrow Grip - Barbell,4:51PM Feb 19,(On the edge)
Feb,B38,Bench Press - Narrow Grip - Barbell,4:51PM Feb 19,Working reps of 50kg
Feb,B38,Bench Press - Narrow Grip - Barbell,4:49PM Feb 19,10
Feb,B33,Seated Pulley Row - V-Grip - Cable,5:02PM Feb 19,Working sets of 14
Feb,B35,Arnold Press - Dumbell,5:09PM Feb 19,7 for the second
