Sheet,Cell,Cell Data,Time-Stamp,Comment,Date
Apr,H8,Pectoral Flys - Cable,"Apr 1, 2023",Working weight 49.5kg,2023-04-01
Apr,H5,Bench Press - Flat - Barbell,"Apr 1, 2023",Working weight 60kg (5 and 4 reps) keep pushjng,2023-04-01
Apr,H7,Bench Press - Decline - Barbell,"Apr 1, 2023",Working weight 60kg,2023-04-01
Apr,H6,Bench Press - Incline - Dumbell,"Apr 1, 2023",Reduced to 18kg DBs to try and get more reps out of the exercise,2023-04-01
Apr,H12,Bent-Over Rows - Barbell,"Apr 1, 2023","New working weight 50kg, down from 60kg to get the 8 reps with the new grip",2023-04-01
Apr,H12,Bent-Over Rows - Barbell,"Apr 1, 2023","Changing grip indefinitely to underhand, feels like it works the biceps and shoulders too for a more compound motikn",2023-04-01
Apr,H10,Face Pull - Cable,"Apr 1, 2023","New working weight 24.5kg, helps with the one foot forward",2023-04-01
Apr,H11,Lateral Pull Down - Cable,"Apr 1, 2023",Pain in side delt relieved by focusing squeezing my shoulder blades and isolating the movement to my upper back,2023-04-01
Apr,H9,Low Pulley Row - Underhand - Cable,"Apr 1, 2023",Peak weight 16,2023-04-01
Apr,C15,Lateral Raise - Standing - Dumbell,"Apr 3, 2023",Working weight 10kg DBs,2023-04-03
Apr,C14,Shoulder Press - Dumbell,"Apr 3, 2023",Working weight 15kg DBs,2023-04-03
Apr,C17,Hip Huggers - Dumbell,"Apr 3, 2023",Working weight 20kg DBs,2023-04-03
Apr,C18,Overhead Tricep Extension - One Arm - Dumbell,"Apr 3, 2023",Keep working weight at 8kg DB,2023-04-03
Apr,C16,Front Raises - Dumbell,"Apr 3, 2023",Consider using the support of a bar,2023-04-03
Apr,C16,Front Raises - Dumbell,"Apr 3, 2023",Working weight 10kg DB,2023-04-03
Apr,C19,Tricep Kick-Backs - Dumbell,"Apr 3, 2023","That being said, 7.5kg works well for 8 reps ",2023-04-03
Apr,C19,Tricep Kick-Backs - Dumbell,"Apr 3, 2023",Beginning to realise this one feels better at more reps and lower weight,2023-04-03
Apr,C20,Rear Extension - V-Bar - Cable,"Apr 3, 2023","Peak 21.25kg, keep at 1 lower, too hard to get into position and hurts hands at that weight",2023-04-03
Apr,C21,Tricep Extension Pulldown - Cable,"Apr 3, 2023",Triceps and Shoulders fucking exhausted by this point,2023-04-03
Apr,E14,Crunches - Weighted - Cable,"Apr 5, 2023",Working weight 40,2023-04-05
Apr,E16,Leg Raises - Straight Leg Resting - Body,"Apr 5, 2023","Three weights each leg, sets of 12",2023-04-05
Apr,E18,Curls - Simple - Dumbell,"Apr 5, 2023",Working weight 12.5kg DBs from seated upright position,2023-04-05
Apr,E20,Curls - Overhand - Barbell,"Apr 5, 2023",Working weight 17.5kg,2023-04-05
Apr,E21,Wrist Flexion - Cable,"Apr 5, 2023"," (edited Apr 5, 2023)",2023-04-05
Apr,E21,Wrist Flexion - Cable,"Apr 5, 2023",Working weight 8.75kg done in conjunction with overhand curls,2023-04-05
Apr,E19,Curls - Cable,"Apr 5, 2023",Working weight 21kg focus on form and reps,2023-04-05
Apr,E17,Kneeling Rope Crunch - Cable,"Apr 5, 2023","Working weight 31.5kg, feel like I",2023-04-05
Apr,F14,Pectoral Flys - Cable,"Apr 6, 2023",New working weight 52kg tough,2023-04-06
Apr,F15,Bench Press - Flat - Barbell,"Apr 6, 2023",No spotter working weight 57.5kg for reps of 6,2023-04-06
Apr,F17,Bench Press - Decline - Barbell,"Apr 6, 2023",Working weight 60kg,2023-04-06
Apr,F16,Upper Chest Pullover - Dumbell,"Apr 6, 2023",Working weight 16kg DB for 3 sets,2023-04-06
Apr,F20,ISO Lateral Row - Machine,"Apr 6, 2023","New wide grip working weight 80kg, sacrifice of technique though for 8 reps, consider dropping depending on confidence",2023-04-06
Apr,F20,ISO Lateral Row - Machine,"Apr 6, 2023",Wide grip,2023-04-06
Apr,F21,Lateral Pull Down - Cable,"Apr 6, 2023",Working weight 15,2023-04-06
Apr,F18,Low Pulley Row - Overhand - Cable,"Apr 6, 2023",New working weight 18,2023-04-06
Apr,F19,Face Pull - Cable,"Apr 6, 2023",Working weight 24.5kg,2023-04-06
Apr,H14,Squat - Front - Barbell,"Apr 8, 2023",New working weight 65kg,2023-04-08
Apr,H15,Squat - Back - Barbell,"Apr 8, 2023",Working weight 85kg,2023-04-08
Apr,H16,Good Mornings - Barbell,"Apr 8, 2023",New peak 60kg using much lower bend,2023-04-08
Apr,H17,Oblique Lunges - Plate,"Apr 8, 2023",Working weight 5kg plate 4 sets,2023-04-08
Apr,H18,Leg Press - Machine,"Apr 8, 2023",Primal strength working weight 90kg,2023-04-08
Apr,H20,Calf Raises - Bent Leg - Machine,"Apr 8, 2023",Working weight 20kg,2023-04-08
Apr,H19,Hamstring Curls - Cable,"Apr 8, 2023",New peak 55kg,2023-04-08
Apr,H21,Calf Raises - Barbell,"Apr 8, 2023",Working weight 50kg with a ten under each foot. Can,2023-04-08
Apr,C24,Lateral Raise - Standing - Dumbell,"Apr 10, 2023",Working weight 10kg DBs (fire alarm),2023-04-10
Apr,C25,Front Raises - Dumbell,"Apr 10, 2023",Working weight 10kg DBs,2023-04-10
Apr,C26,Hip Huggers - Dumbell,"Apr 10, 2023",Working weight 20kg DBs,2023-04-10
Apr,C29,Overhead Tricep Extension - One Arm - Dumbell,"Apr 10, 2023",Working weight 8kg DB,2023-04-10
Apr,C28,Tricep Kick-Backs - Dumbell,"Apr 10, 2023","Working weight 7.5kg DB, tough on the left arm",2023-04-10
Apr,C27,Bench Press - Narrow Grip - Barbell,"Apr 10, 2023",Working weight 50kg,2023-04-10
Apr,C30,Tricep Extension Pulldown - Cable,"Apr 10, 2023",Working weight 50kg,2023-04-10
Apr,C30,Tricep Extension Pulldown - Cable,"Apr 10, 2023",Maida numbers not in kg,2023-04-10
Apr,F23,Kneeling Rope Crunch - Cable,"Apr 13, 2023",New working weight 35,2023-04-13
Apr,F24,Crunches - Weighted - Cable,"Apr 13, 2023",Working weight 40,2023-04-13
Apr,F25,Leg Raises - Straight Leg Resting - Body,"Apr 13, 2023","Do bent leg next time, feeling it most in my hip flexors",2023-04-13
Apr,F25,Leg Raises - Straight Leg Resting - Body,"Apr 13, 2023",3 weights each ankle sets of 10 for the first 3,2023-04-13
Apr,F26,Curls - Wide Grip - Barbell,"Apr 13, 2023","Working weight 25kg, 10 reps for first ww set, consider raising to two 10kg plates next week",2023-04-13
Apr,F27,Curls - Concentration - Dumbell,"Apr 13, 2023",Working weight 12kg DB,2023-04-13
Apr,F27,Curls - Concentration - Dumbell,"Apr 13, 2023",Big fan of these,2023-04-13
Apr,F28,Curls - Incline - Dumbell,"Apr 13, 2023",Easier to perform as hammer curls,2023-04-13
Apr,F28,Curls - Incline - Dumbell,"Apr 13, 2023",Biceps exhausted. Working sets of 7 with 12kg DBs,2023-04-13
Apr,F29,Wrist Flexion - Cable,"Apr 13, 2023","Actually a wrist extension l, like a mini curl",2023-04-13
Apr,F29,Wrist Flexion - Cable,"Apr 13, 2023",From below,2023-04-13
Apr,F30,Wrist Flexion - Cable,"Apr 13, 2023",New working weight 11.25,2023-04-13
Apr,F30,Wrist Flexion - Cable,"Apr 13, 2023",From above,2023-04-13
Apr,G23,Squat - Front - Barbell,"Apr 14, 2023",Working weight 65kg (tough),2023-04-14
Apr,G26,Deadlift - Barbell,"Apr 14, 2023",Working weight 70kg,2023-04-14
Apr,G28,Good Mornings - Barbell,"Apr 14, 2023",Working weight 60kg,2023-04-14
Apr,G27,Hamstring Curls - Cable,"Apr 14, 2023",Working weight 10kg per leg,2023-04-14
Apr,G24,Squat - Back - Barbell,"Apr 14, 2023","Working weight 85kg, inc to 90 next time. Managed 10 reps on the last set",2023-04-14
Apr,G29,Calf Raises - Bent Leg - Machine,"Apr 14, 2023",Calf super sets,2023-04-14
Apr,G29,Calf Raises - Bent Leg - Machine,"Apr 14, 2023",Working weight 20kg,2023-04-14
Apr,G30,Calf Raises - Straight Leg - Machine,"Apr 14, 2023",Calf super sets,2023-04-14
Apr,G30,Calf Raises - Straight Leg - Machine,"Apr 14, 2023",Working weight 70kg,2023-04-14
Apr,G25,Oblique Lunges - Plate,"Apr 14, 2023",Working weight 5kg plate,2023-04-14
Apr,H27,ISO Lateral Row - Machine,"Apr 14, 2023",Narrow grip,2023-04-14
Apr,H27,ISO Lateral Row - Machine,"Apr 15, 2023","Working weight 80kg, increase next time",2023-04-15
Apr,H28,Seated Pulley Row - V-Grip - Cable,"Apr 15, 2023",Working weight 16 (tough),2023-04-15
Apr,H30,Abduction Row - Dumbell,"Apr 15, 2023",Working weight 28kg DB (tough),2023-04-15
Apr,H29,Face Pull - Cable,"Apr 15, 2023",Working weight 24.5,2023-04-15
Apr,H23,Bench Press - Lateral - Machine,"Apr 15, 2023",New peak weight 50kg,2023-04-15
Apr,H26,Pectoral Flys - Cable,"Apr 15, 2023",Working weight 52,2023-04-15
Apr,H24,Bench Press - Decline - Barbell,"Apr 15, 2023",6 working set reps at 60kg,2023-04-15
Apr,H25,Bench Press - Incline - Dumbell,"Apr 15, 2023",Working weight 18kg DBs,2023-04-15
Apr,C35,Tricep Kick-Backs - Dumbell,"Apr 17, 2023",3 working super sets with OTE 8kg DB,2023-04-17
Apr,C32,Overhead Tricep Extension - One Arm - Dumbell,"Apr 17, 2023",3 working super sets with OTE 8kg DB,2023-04-17
Apr,C38,Lateral Raise - Standing - Dumbell,"Apr 17, 2023",Working weight 10kg DBs,2023-04-17
Apr,C34,Tricep Extension Pulldown - Cable,"Apr 17, 2023",Just squeaked in a new peak weight 31.25 (only just),2023-04-17
Apr,C33,Rear Extension - V-Bar - Cable,"Apr 17, 2023","Working weight 18.75, have to push hands together for last few reps (tough)",2023-04-17
Apr,C33,Rear Extension - V-Bar - Cable,"Apr 17, 2023",Rope variation,2023-04-17
Apr,C37,Shrugs - Dumbell,"Apr 17, 2023",Ugly working sets 70kg,2023-04-17
Apr,C23,Shoulder Press - Dumbell,"Apr 17, 2023",Working weight 15kg DBs,2023-04-17
Apr,C39,Scoop Press - Dumbell,"Apr 17, 2023",Working weight 12kg DBs,2023-04-17
Apr,C36,Shoulder Press - Dumbell,"Apr 17, 2023",New working weight 16kg DBs,2023-04-17
Apr,D32,Kneeling Rope Crunch - Cable,"Apr 18, 2023",New working weight 36.25,2023-04-18
Apr,D33,Crunches - Weighted - Cable,"Apr 18, 2023",New peak weight 45,2023-04-18
Apr,D34,Leg Raises - Bent Leg Resting - Body,"Apr 18, 2023",Still sore on hip flexors,2023-04-18
Apr,D34,Leg Raises - Bent Leg Resting - Body,"Apr 18, 2023",Working sets of 10 with 4 weights on each ankle,2023-04-18
Apr,D35,Curls - Wide Grip - Barbell,"Apr 18, 2023",New working weight 27.5kg (2 x 10kg plates!),2023-04-18
Apr,D36,Curls - Concentration - Dumbell,"Apr 18, 2023",Fuckin mingin supersets with incline. Working weight 12kg DBs (very tough),2023-04-18
Apr,D37,Curls - Incline - Dumbell,"Apr 18, 2023",Supersets with concentration. Working weight 12kg DBs,2023-04-18
Apr,D38,Seated Pulley Row - V-Grip - Cable,"Apr 18, 2023",Working weight 16,2023-04-18
Apr,D39,Abduction Row - Dumbell,"Apr 18, 2023",Working weight 28kg DB,2023-04-18
Apr,F36,Overhead Tricep Extension - One Arm - Dumbell,"Apr 20, 2023","Working super sets, OTE TKB 8kg DB, increase next time for peak",2023-04-20
Apr,F37,Bench Press - Narrow Grip - Barbell,"Apr 20, 2023",Working weight 50kg,2023-04-20
Apr,F32,Shoulder Press - Dumbell,"Apr 20, 2023",Working weight 16kg DBs,2023-04-20
Apr,F35,Upright Row - Barbell,"Apr 20, 2023","New peak weight 35kg, prefer hip huggers",2023-04-20
Apr,F34,Shrugs - Dumbell,"Apr 20, 2023",New working weight 80kg,2023-04-20
Apr,F38,Rear Extension - V-Bar - Cable,"Apr 20, 2023",3 working sets of 18.75,2023-04-20
Apr,F38,Rear Extension - V-Bar - Cable,"Apr 20, 2023",Rope variation,2023-04-20
Apr,F33,Scoop Press - Dumbell,"Apr 20, 2023",3 working sets with 12kg DBs. WS2:7,2023-04-20
Apr,G32,Low Pulley Row - Overhand - Cable,"Apr 21, 2023",Working weight 18,2023-04-21
Apr,G33,Face Pull - Cable,"Apr 21, 2023",New working weight 28,2023-04-21
Apr,G34,Bent-Over Rows - Barbell,"Apr 21, 2023",New peak weight 60kg,2023-04-21
Apr,G34,Bent-Over Rows - Barbell,"Apr 21, 2023",Underhand,2023-04-21
Apr,G35,Lateral Pull Down - Machine,"Apr 21, 2023",New peak weight 100kg,2023-04-21
Apr,G36,Bench Press - Flat - Barbell,"Apr 21, 2023",Peak weight 60kg for 6 reps (up 2 from last),2023-04-21
Apr,G38,Bench Press - Decline - Barbell,"Apr 21, 2023",New working weight (official) 60kg,2023-04-21
Apr,G37,Upper Chest Pullover - Dumbell,"Apr 21, 2023",New peak weight 18kg DB (easy),2023-04-21
Apr,G39,Pectoral Flys - Cable,"Apr 22, 2023",Working weight 52,2023-04-22
Apr,D41,Overhead Tricep Extension - One Arm - Dumbell,"Apr 25, 2023",Supersets of OTE + TKB working weight 8kg DB,2023-04-25
Apr,D42,Tricep Kick-Backs - Dumbell,"Apr 25, 2023",Supersets of OTE + TKB working weight 8kg DB,2023-04-25
Apr,D43,Rear Extension - V-Bar - Cable,"Apr 25, 2023",Working weight techno gym 20,2023-04-25
